exercise_id,exercise_name,body_region,movement_pattern,primary_muscle,secondary_muscles,equipment,difficulty_level,exercise_role,default_sets,min_reps,max_reps,target_type,default_rest_seconds,progression_type,replacement_group,beginner_friendly,stability_demand,lower_back_demand,knee_demand,shoulder_demand,progression_friendliness,is_unilateral,active
smith_machine_row,Smith Machine Row,Upper,Horizontal Pull,Mid Back,Lats; Rear Deltoid; Biceps,Smith Machine,2,Secondary Compound,3,8,12,Repetitions,150,Load and Reps,unsupported_horizontal_pull,Conditional,Moderate,Moderate,Low,Low,High,False,True
lat_pulldown,Lat Pulldown,Upper,Vertical Pull,Lats,Biceps; Mid Back,Cable; Machine,1,Primary Compound,3,8,12,Repetitions,150,Load and Reps,vertical_pull_machine,Yes,Low,Low,Low,Low,High,False,True
neutral_grip_lat_pulldown,Neutral-Grip Lat Pulldown,Upper,Vertical Pull,Lats,Biceps; Mid Back,Cable,1,Primary Compound,3,8,12,Repetitions,150,Load and Reps,vertical_pull_machine,Yes,Low,Low,Low,Low,High,False,True
assisted_pull_up,Assisted Pull-Up,Upper,Vertical Pull,Lats,Biceps; Mid Back,Assisted Pull-Up Machine,2,Primary Compound,3,6,10,Repetitions,150,Assistance Reduction,vertical_pull_bodyweight,Yes,Moderate,Low,Low,Moderate,Moderate,False,True
pull_up,Pull-Up,Upper,Vertical Pull,Lats,Biceps; Mid Back,Pull-Up Bar,3,Primary Compound,3,5,10,Repetitions,180,Repetitions then Load,vertical_pull_bodyweight,No,High,Low,Low,Moderate,Moderate,False,True
chin_up,Chin-Up,Upper,Vertical Pull,Lats,Biceps; Mid Back,Pull-Up Bar,3,Primary Compound,3,5,10,Repetitions,180,Repetitions then Load,vertical_pull_bodyweight,No,High,Low,Low,Moderate,Moderate,False,True
machine_shoulder_press,Machine Shoulder Press,Upper,Vertical Push,Front Deltoid,Triceps; Side Deltoid,Machine,1,Primary Compound,3,8,12,Repetitions,150,Load and Reps,vertical_push_supported,Yes,Low,Low,Low,Moderate,High,False,True
seated_dumbbell_shoulder_press,Seated Dumbbell Shoulder Press,Upper,Vertical Push,Front Deltoid,Triceps; Side Deltoid,Dumbbell; Bench,2,Primary Compound,3,8,12,Repetitions,150,Load and Reps,vertical_push_free_weight,Yes,Moderate,Low,Low,Moderate,High,False,True
smith_machine_shoulder_press,Smith Machine Shoulder Press,Upper,Vertical Push,Front Deltoid,Triceps; Side Deltoid,Smith Machine; Bench,2,Primary Compound,3,8,12,Repetitions,150,Load and Reps,vertical_push_supported,Yes,Low,Low,Low,Moderate,High,False,True
barbell_overhead_press,Barbell Overhead Press,Upper,Vertical Push,Front Deltoid,Triceps; Core,Barbell; Rack,3,Primary Compound,3,5,8,Repetitions,180,Load and Reps,vertical_push_barbell,Conditional,High,Moderate,Low,High,High,False,True
dumbbell_lateral_raise,Dumbbell Lateral Raise,Upper,Shoulder Abduction,Side Deltoid,,Dumbbell,1,Isolation,3,12,20,Repetitions,75,Load and Reps,lateral_raise,Yes,Moderate,Low,Low,Low,High,False,True
cable_lateral_raise,Cable Lateral Raise,Upper,Shoulder Abduction,Side Deltoid,,Cable,2,Isolation,3,12,20,Repetitions,75,Load and Reps,lateral_raise,Yes,Moderate,Low,Low,Low,High,False,True
machine_lateral_raise,Machine Lateral Raise,Upper,Shoulder Abduction,Side Deltoid,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,lateral_raise,Yes,Low,Low,Low,Low,High,False,True
reverse_pec_deck,Reverse Pec Deck,Upper,Horizontal Shoulder Abduction,Rear Deltoid,Upper Back,Machine,1,Isolation,3,12,20,Repetitions,75,Load and Reps,rear_deltoid,Yes,Low,Low,Low,Low,High,False,True
cable_rear_delt_fly,Cable Rear-Delt Fly,Upper,Horizontal Shoulder Abduction,Rear Deltoid,Upper Back,Cable,2,Isolation,3,12,20,Repetitions,75,Load and Reps,rear_deltoid,Yes,Moderate,Low,Low,Low,High,False,True
face_pull,Face Pull,Upper,Scapular Pull / External Rotation,Rear Deltoid,Upper Back; Rotator Cuff,Cable,2,Accessory,3,12,20,Repetitions,75,Load and Reps,rear_deltoid_scapular,Yes,Moderate,Low,Low,Low,Moderate,False,True
dumbbell_curl,Dumbbell Curl,Upper,Elbow Flexion,Biceps,,Dumbbell,1,Isolation,3,8,12,Repetitions,75,Load and Reps,biceps_standard,Yes,Moderate,Low,Low,Low,High,False,True
cable_curl,Cable Curl,Upper,Elbow Flexion,Biceps,,Cable,1,Isolation,3,10,15,Repetitions,75,Load and Reps,biceps_standard,Yes,Low,Low,Low,Low,High,False,True
machine_preacher_curl,Machine Preacher Curl,Upper,Elbow Flexion,Biceps,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,biceps_supported,Yes,Low,Low,Low,Low,High,False,True
incline_dumbbell_curl,Incline Dumbbell Curl,Upper,Elbow Flexion,Biceps,,Dumbbell; Bench,2,Isolation,3,10,15,Repetitions,75,Load and Reps,biceps_lengthened,Yes,Low,Low,Low,Low,High,False,True
hammer_curl,Hammer Curl,Upper,Elbow Flexion,Brachialis,Biceps; Forearms,Dumbbell,1,Isolation,3,8,12,Repetitions,75,Load and Reps,neutral_grip_curl,Yes,Moderate,Low,Low,Low,High,False,True
cable_triceps_pushdown,Cable Triceps Pushdown,Upper,Elbow Extension,Triceps,,Cable,1,Isolation,3,10,15,Repetitions,75,Load and Reps,triceps_pushdown,Yes,Low,Low,Low,Low,High,False,True
rope_triceps_pushdown,Rope Triceps Pushdown,Upper,Elbow Extension,Triceps,,Cable; Rope,1,Isolation,3,10,15,Repetitions,75,Load and Reps,triceps_pushdown,Yes,Low,Low,Low,Low,High,False,True
overhead_cable_triceps_extension,Overhead Cable Triceps Extension,Upper,Elbow Extension,Triceps Long Head,,Cable,2,Isolation,3,10,15,Repetitions,75,Load and Reps,triceps_overhead,Yes,Moderate,Low,Low,Moderate,High,False,True
dumbbell_overhead_triceps_extension,Dumbbell Overhead Triceps Extension,Upper,Elbow Extension,Triceps Long Head,,Dumbbell,2,Isolation,3,10,15,Repetitions,75,Load and Reps,triceps_overhead,Conditional,Moderate,Low,Low,Moderate,High,False,True
assisted_dip,Assisted Dip,Upper,Vertical Push,Triceps,Chest; Front Deltoid,Assisted Dip Machine,2,Secondary Compound,3,6,10,Repetitions,120,Assistance Reduction,triceps_compound,Conditional,Moderate,Low,Low,High,Moderate,False,True
leg_press,Leg Press,Lower,Squat / Knee-Dominant,Quadriceps,Glutes; Hamstrings,Leg Press,1,Primary Compound,3,8,15,Repetitions,180,Load and Reps,supported_knee_dominant,Yes,Low,Low,Moderate,Low,High,False,True
hack_squat,Hack Squat,Lower,Squat / Knee-Dominant,Quadriceps,Glutes,Hack Squat Machine,2,Primary Compound,3,6,12,Repetitions,180,Load and Reps,supported_knee_dominant,Yes,Low,Low,High,Low,High,False,True
smith_machine_squat,Smith Machine Squat,Lower,Squat / Knee-Dominant,Quadriceps,Glutes,Smith Machine,2,Primary Compound,3,6,12,Repetitions,180,Load and Reps,supported_squat,Yes,Moderate,Moderate,High,Low,High,False,True
goblet_squat,Goblet Squat,Lower,Squat / Knee-Dominant,Quadriceps,Glutes; Core,Dumbbell; Kettlebell,1,Primary Compound,3,8,15,Repetitions,150,Load and Reps,dumbbell_squat,Yes,Moderate,Low,Moderate,Low,Moderate,False,True
barbell_back_squat,Barbell Back Squat,Lower,Squat / Knee-Dominant,Quadriceps,Glutes; Core; Spinal Erectors,Barbell; Rack,3,Primary Compound,3,5,8,Repetitions,180,Load and Reps,barbell_squat,Conditional,High,High,High,Low,High,False,True
box_squat_to_bench,Box Squat to Bench,Lower,Squat / Knee-Dominant,Quadriceps,Glutes,Bodyweight; Dumbbell; Bench,1,Secondary Compound,3,8,15,Repetitions,120,Load and Reps,beginner_squat,Yes,Low,Low,Moderate,Low,Moderate,False,True
bulgarian_split_squat,Bulgarian Split Squat,Lower,Unilateral Knee-Dominant,Quadriceps,Glutes; Hamstrings,Dumbbell; Bench,3,Secondary Compound,3,8,12,Repetitions,150,Load and Reps,unilateral_knee_dominant,Conditional,High,Low,High,Low,High,True,True
reverse_lunge,Reverse Lunge,Lower,Unilateral Knee-Dominant,Quadriceps,Glutes,Bodyweight; Dumbbell,2,Secondary Compound,3,8,12,Repetitions,120,Load and Reps,unilateral_knee_dominant,Yes,Moderate,Low,Moderate,Low,High,True,True
walking_lunge,Walking Lunge,Lower,Unilateral Knee-Dominant,Quadriceps,Glutes; Hamstrings,Bodyweight; Dumbbell,2,Secondary Compound,3,8,15,Repetitions,120,Load and Reps,unilateral_knee_dominant,Conditional,High,Low,Moderate,Low,High,True,True
step_up,Step-Up,Lower,Unilateral Knee-Dominant,Quadriceps,Glutes,Box; Dumbbell,2,Secondary Compound,3,8,12,Repetitions,120,Load and Reps,unilateral_knee_dominant,Yes,Moderate,Low,Moderate,Low,High,True,True
dumbbell_romanian_deadlift,Dumbbell Romanian Deadlift,Lower,Hip Hinge,Hamstrings,Glutes; Spinal Erectors,Dumbbell,2,Primary Compound,3,8,12,Repetitions,150,Load and Reps,hip_hinge,Yes,Moderate,Moderate,Low,Low,High,False,True
barbell_romanian_deadlift,Barbell Romanian Deadlift,Lower,Hip Hinge,Hamstrings,Glutes; Spinal Erectors,Barbell,3,Primary Compound,3,6,10,Repetitions,180,Load and Reps,hip_hinge,Conditional,Moderate,High,Low,Low,High,False,True
smith_machine_romanian_deadlift,Smith Machine Romanian Deadlift,Lower,Hip Hinge,Hamstrings,Glutes,Smith Machine,2,Primary Compound,3,8,12,Repetitions,150,Load and Reps,hip_hinge_supported,Yes,Low,Moderate,Low,Low,High,False,True
cable_pull_through,Cable Pull-Through,Lower,Hip Hinge,Glutes,Hamstrings,Cable,2,Secondary Compound,3,10,15,Repetitions,120,Load and Reps,hip_hinge_supported,Yes,Moderate,Low,Low,Low,High,False,True
hip_thrust_machine,Hip Thrust Machine,Lower,Hip-Dominant,Glutes,Hamstrings,Machine,1,Primary Compound,3,8,12,Repetitions,150,Load and Reps,hip_thrust,Yes,Low,Low,Low,Low,High,False,True
barbell_hip_thrust,Barbell Hip Thrust,Lower,Hip-Dominant,Glutes,Hamstrings,Barbell; Bench,2,Primary Compound,3,8,12,Repetitions,150,Load and Reps,hip_thrust,Conditional,Moderate,Low,Low,Low,High,False,True
dumbbell_glute_bridge,Dumbbell Glute Bridge,Lower,Hip-Dominant,Glutes,Hamstrings,Dumbbell; Floor,1,Secondary Compound,3,10,15,Repetitions,120,Load and Reps,glute_bridge,Yes,Low,Low,Low,Low,High,False,True
bodyweight_glute_bridge,Bodyweight Glute Bridge,Lower,Hip-Dominant,Glutes,Hamstrings,Bodyweight,1,Accessory,3,12,20,Repetitions,75,Difficulty Progression,glute_bridge,Yes,Low,Low,Low,Low,Moderate,False,True
seated_leg_curl,Seated Leg Curl,Lower,Knee Flexion,Hamstrings,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,leg_curl,Yes,Low,Low,Low,Low,High,False,True
lying_leg_curl,Lying Leg Curl,Lower,Knee Flexion,Hamstrings,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,leg_curl,Yes,Low,Low,Low,Low,High,False,True
standing_single_leg_curl,Standing Single-Leg Curl,Lower,Knee Flexion,Hamstrings,,Machine,2,Isolation,3,10,15,Repetitions,75,Load and Reps,leg_curl_unilateral,Yes,Moderate,Low,Low,Low,High,True,True
leg_extension,Leg Extension,Lower,Knee Extension,Quadriceps,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,knee_extension,Yes,Low,Low,Moderate,Low,High,False,True
single_leg_extension,Single-Leg Extension,Lower,Knee Extension,Quadriceps,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,knee_extension,Yes,Low,Low,Moderate,Low,High,True,True
hip_abduction_machine,Hip Abduction Machine,Lower,Hip Abduction,Glute Medius,Glutes,Machine,1,Isolation,3,12,20,Repetitions,75,Load and Reps,hip_abduction,Yes,Low,Low,Low,Low,High,False,True
cable_hip_abduction,Cable Hip Abduction,Lower,Hip Abduction,Glute Medius,,Cable,2,Isolation,3,12,20,Repetitions,75,Load and Reps,hip_abduction,Yes,Moderate,Low,Low,Low,High,True,True
banded_lateral_walk,Banded Lateral Walk,Lower,Hip Abduction,Glute Medius,,Resistance Band,1,Accessory,3,10,20,Steps,60,Band Resistance or Repetitions,hip_abduction_band,Yes,Moderate,Low,Low,Low,Moderate,True,True
standing_calf_raise_machine,Standing Calf Raise Machine,Lower,Calf,Gastrocnemius,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,calf_standing,Yes,Low,Low,Low,Low,High,False,True
seated_calf_raise,Seated Calf Raise,Lower,Calf,Soleus,,Machine,1,Isolation,3,12,20,Repetitions,75,Load and Reps,calf_seated,Yes,Low,Low,Low,Low,High,False,True
leg_press_calf_raise,Leg Press Calf Raise,Lower,Calf,Gastrocnemius,,Leg Press,1,Isolation,3,10,20,Repetitions,75,Load and Reps,calf_standing,Yes,Low,Low,Low,Low,High,False,True
single_leg_bodyweight_calf_raise,Single-Leg Bodyweight Calf Raise,Lower,Calf,Gastrocnemius,,Bodyweight,2,Isolation,3,10,20,Repetitions,60,Repetitions then Load,calf_bodyweight,Yes,Moderate,Low,Low,Low,Moderate,True,True
front_plank,Front Plank,Core,Anti-Extension,Core,,Bodyweight,1,Core,3,20,60,Seconds,60,Duration,anti_extension,Yes,Low,Low,Low,Low,Moderate,False,True
dead_bug,Dead Bug,Core,Anti-Extension,Core,,Bodyweight,1,Core,3,6,12,Repetitions,60,Difficulty Progression,anti_extension,Yes,Low,Low,Low,Low,Moderate,True,True
pallof_press,Pallof Press,Core,Anti-Rotation,Core,,Cable; Resistance Band,1,Core,3,8,15,Repetitions,60,Load and Reps,anti_rotation,Yes,Moderate,Low,Low,Low,High,True,True
side_plank,Side Plank,Core,Anti-Lateral Flexion,Obliques,Glute Medius,Bodyweight,2,Core,3,15,45,Seconds,60,Duration,anti_lateral_flexion,Yes,Moderate,Low,Low,Low,Moderate,True,True
cable_crunch,Cable Crunch,Core,Trunk Flexion,Rectus Abdominis,,Cable,2,Core,3,10,15,Repetitions,75,Load and Reps,trunk_flexion,Yes,Low,Low,Low,Low,High,False,True
farmer_carry,Farmer Carry,Core,Carry,Grip; Core,Upper Back; Traps,Dumbbell; Kettlebell,2,Core,3,20,40,Metres,90,Load or Distance,carry,Yes,Moderate,Moderate,Low,Low,High,True,True
